CaseID,weight_pop,B3_trans,ND2_trans,B7_b_trans,GH1_trans,race_trans,educ_trans,B3_binary,ND2_num,B7_b_num,GH1_num,race_num,educ_num
2088,29478.4912,1,2,1,3,1,1,0,2,1,3,1,1
2089,19790.4153,3,2,2,2,1,4,1,2,2,2,1,4
2090,23922.6348,3,3,2,1,1,4,1,3,2,1,1,4
2091,16050.0871,2,3,1,3,2,3,0,3,1,3,2,3
2092,17704.7623,2,2,2,2,1,2,0,2,2,2,1,2
2093,21515.8307,1,4,1,1,1,4,0,4,1,1,1,4
2094,20047.8367,3,2,2,3,2,3,1,2,2,3,2,3
2095,18615.4748,3,3,3,4,1,2,1,3,3,4,1,2
2096,19697.4601,3,3,2,1,1,4,1,3,2,1,1,4
2097,17127.8861,3,3,1,2,4,4,1,3,1,2,4,4
2098,15472.8743,2,2,1,1,1,4,0,2,1,1,1,4
2099,17903.5345,3,1,2,2,1,3,1,1,2,2,1,3
2100,36936.9117,3,2,2,2,3,2,1,2,2,2,3,2
2101,23271.3447,3,3,3,1,4,4,1,3,3,1,4,4
2102,13900.4068,3,3,2,2,1,4,1,3,2,2,1,4
2103,48304.5598,3,3,3,2,3,1,1,3,3,2,3,1
2104,17969.0826,3,2,1,1,3,3,1,2,1,1,3,3
2105,10305.5614,3,2,2,1,1,4,1,2,2,1,1,4
2106,18412.8175,2,3,2,2,1,2,0,3,2,2,1,2
2107,22142.6835,3,2,1,1,1,2,1,2,1,1,1,2
2108,20850.7995,3,2,2,1,1,4,1,2,2,1,1,4
2109,18596.2755,3,4,3,2,1,2,1,4,3,2,1,2
2110,30530.9958,3,5,1,2,1,1,1,5,1,2,1,1
2111,15472.8743,2,1,1,1,1,4,0,1,1,1,1,4
2112,22651.2361,2,3,2,3,2,2,0,3,2,3,2,2
2113,21515.8307,3,2,1,1,1,4,1,2,1,1,1,4
2114,19031.5304,3,3,1,1,1,2,1,3,1,1,1,2
2115,11435.6574,3,3,2,1,3,4,1,3,2,1,3,4
2116,33505.2744,3,3,2,1,2,2,1,3,2,1,2,2
2117,29582.1365,4,2,2,3,2,2,1,2,2,3,2,2
2118,10857.7405,1,3,1,2,1,4,0,3,1,2,1,4
2119,25262.2132,2,3,2,3,4,4,0,3,2,3,4,4
2120,15051.257,3,3,2,1,1,3,1,3,2,1,1,3
2121,19639.2262,3,3,3,2,1,3,1,3,3,2,1,3
2122,17969.0826,3,3,1,1,3,3,1,3,1,1,3,3
2123,29526.8252,3,2,2,2,4,4,1,2,2,2,4,4
2124,18615.4748,3,3,2,1,1,3,1,3,2,1,1,3
2125,14140.9356,3,3,3,2,1,4,1,3,3,2,1,4
2126,16258.6986,2,3,2,2,1,2,0,3,2,2,1,2
2127,24124.51,3,3,2,2,1,3,1,3,2,2,1,3
2128,17704.7623,3,2,1,2,1,2,1,2,1,2,1,2
2129,15116.4069,2,3,3,1,1,4,0,3,3,1,1,4
2130,19805.2631,3,1,3,1,3,3,1,1,3,1,3,3
2131,18596.2755,3,2,1,4,1,2,1,2,1,4,1,2
2132,30547.111,4,3,2,1,1,4,1,3,2,1,1,4
2133,17924.6434,2,3,2,3,1,4,0,3,2,3,1,4
2134,13294.827,3,3,3,1,1,3,1,3,3,1,1,3
2135,27746.4885,2,3,1,1,1,4,0,3,1,1,1,4
2136,10151.1496,2,3,1,1,1,4,0,3,1,1,1,4
2137,20220.9492,3,3,1,1,1,4,1,3,1,1,1,4
2138,13859.7203,2,3,2,1,3,4,0,3,2,1,3,4
2139,23922.6348,3,3,2,1,1,4,1,3,2,1,1,4
2140,4329.348,3,1,1,2,5,4,1,1,1,2,5,4
2141,16541.2304,3,2,2,2,1,2,1,2,2,2,1,2
2142,38147.7966,3,3,2,1,4,3,1,3,2,1,4,3
2143,16926.0731,4,3,1,3,2,3,1,3,1,3,2,3
2144,30702.6562,5,2,2,3,1,3,1,2,2,3,1,3
2145,13663.5751,3,3,2,3,2,4,1,3,2,3,2,4
2146,44474.1752,3,2,2,1,4,4,1,2,2,1,4,4
2147,32726.2058,3,3,1,3,1,2,1,3,1,3,1,2
2148,18432.1427,3,2,2,3,1,3,1,2,2,3,1,3
2150,16302.7652,4,3,2,2,1,4,1,3,2,2,1,4
2151,18951.9634,3,3,2,1,1,2,1,3,2,1,1,2
2152,12153.1069,3,2,3,1,1,4,1,2,3,1,1,4
2153,28939.4565,3,3,3,1,2,2,1,3,3,1,2,2
2154,14152.9194,3,3,2,3,1,2,1,3,2,3,1,2
2155,18746.3744,3,3,2,2,1,2,1,3,2,2,1,2
2156,18215.8346,2,2,2,1,1,4,0,2,2,1,1,4
2157,13145.2005,4,2,3,2,4,4,1,2,3,2,4,4
2158,35262.9183,2,3,2,4,3,1,0,3,2,4,3,1
2159,12966.8517,5,2,2,3,3,4,1,2,2,3,3,4
2160,28559.1918,3,3,3,1,1,4,1,3,3,1,1,4
2161,18833.0177,3,3,2,1,4,4,1,3,2,1,4,4
2162,19892.9415,2,2,2,3,1,4,0,2,2,3,1,4
2163,37341.9941,1,3,1,2,3,2,0,3,1,2,3,2
2164,14305.0933,4,2,1,1,1,3,1,2,1,1,1,3
2165,15736.0434,2,3,2,2,1,3,0,3,2,2,1,3
2166,28071.4704,4,3,1,4,2,3,1,3,1,4,2,3
2167,18596.2755,2,3,1,2,1,3,0,3,1,2,1,3
2168,16871.2531,4,3,3,1,4,4,1,3,3,1,4,4
2169,15088.2819,3,3,3,3,2,3,1,3,3,3,2,3
2170,18415.6053,3,3,1,4,1,4,1,3,1,4,1,4
2171,6672.8672,1,3,2,1,1,4,0,3,2,1,1,4
2172,16705.3888,2,3,2,3,1,3,0,3,2,3,1,3
2173,18273.326,5,1,4,1,1,2,1,1,4,1,1,2
2174,13090.7683,4,3,1,1,1,4,1,3,1,1,1,4
2175,14001.9772,2,3,2,2,1,4,0,3,2,2,1,4
2176,4734.4341,1,1,1,1,5,3,0,1,1,1,5,3
2177,20753.9244,3,2,2,1,1,4,1,2,2,1,1,4
2178,26867.235,3,4,2,1,2,2,1,4,2,1,2,2
2179,22896.381,3,3,2,1,4,4,1,3,2,1,4,4
2180,15116.4069,3,2,2,1,1,4,1,2,2,1,1,4
2181,15100.5123,3,3,3,3,2,4,1,3,3,3,2,4
2182,17704.7623,3,3,1,3,1,3,1,3,1,3,1,3
2183,16465.682,4,3,1,2,4,4,1,3,1,2,4,4
2184,14447.0598,3,3,2,1,1,3,1,3,2,1,1,3
2185,8589.288399999999,3,3,1,1,1,4,1,3,1,1,1,4
2186,13090.7683,1,3,1,2,1,4,0,3,1,2,1,4
2187,15978.5584,5,3,4,1,3,4,1,3,4,1,3,4
2188,21938.1087,2,3,2,1,1,3,0,3,2,1,1,3
2189,16258.6986,2,5,2,2,1,2,0,5,2,2,1,2
2190,21164.2081,3,3,2,3,1,1,1,3,2,3,1,1
2191,13578.4931,2,2,3,1,1,4,0,2,3,1,1,4
2192,16853.3823,3,3,2,3,1,4,1,3,2,3,1,4
2193,23502.2941,1,3,2,2,4,4,0,3,2,2,4,4
2194,23445.1546,2,3,1,2,1,2,0,3,1,2,1,2
2195,14715.7153,1,3,1,3,1,2,0,3,1,3,1,2
2196,28869.1523,3,3,2,2,1,3,1,3,2,2,1,3
2197,36755.1087,3,2,3,1,1,3,1,2,3,1,1,3
2198,15530.9593,4,3,2,1,1,3,1,3,2,1,1,3
2199,18432.1427,4,2,2,4,1,3,1,2,2,4,1,3
2200,27746.4885,3,1,2,2,1,4,1,1,2,2,1,4
2201,13090.7683,3,3,3,2,1,4,1,3,3,2,1,4
2202,22608.5599,4,3,2,1,1,2,1,3,2,1,1,2
2203,20308.8895,4,3,2,1,1,3,1,3,2,1,1,3
2204,35768.9177,4,3,2,4,1,3,1,3,2,4,1,3
2205,21057.7269,3,2,3,1,1,4,1,2,3,1,1,4
2206,8476.6592,2,3,1,1,1,4,0,3,1,1,1,4
2207,18416.2638,3,3,1,4,2,4,1,3,1,4,2,4
2208,18800.2184,3,3,1,1,1,2,1,3,1,1,1,2
2209,45621.6696,2,1,3,1,3,2,0,1,3,1,3,2
2210,18492.9204,5,3,2,2,1,4,1,3,2,2,1,4
2211,18800.2184,3,2,2,3,1,2,1,2,2,3,1,2
2212,25652.3835,2,3,1,1,1,3,0,3,1,1,1,3
2213,16705.3888,2,2,1,2,1,3,0,2,1,2,1,3
2214,20174.8978,2,3,2,2,1,4,0,3,2,2,1,4
2215,21793.3678,2,3,2,2,1,4,0,3,2,2,1,4
2216,25906.9628,2,3,1,2,1,3,0,3,1,2,1,3
2217,31436.8015,2,3,1,1,1,2,0,3,1,1,1,2
2218,16389.9298,2,3,2,2,1,2,0,3,2,2,1,2
2219,25568.7381,4,3,2,1,3,3,1,3,2,1,3,3
2220,16050.0871,3,2,1,1,2,3,1,2,1,1,2,3
2221,33730.692,2,3,1,3,2,2,0,3,1,3,2,2
2222,11421.6997,2,3,2,2,1,4,0,3,2,2,1,4
2223,32367.661,1,3,1,3,2,3,0,3,1,3,2,3
2224,28341.324,4,3,2,3,4,3,1,3,2,3,4,3
2225,21057.7269,2,3,2,1,1,4,0,3,2,1,1,4
2226,11927.8279,5,3,2,3,5,2,1,3,2,3,5,2
2228,28071.4704,2,2,2,3,2,3,0,2,2,3,2,3
2229,24542.8487,4,3,3,3,2,3,1,3,3,3,2,3
2230,20053.3701,2,2,3,1,1,4,0,2,3,1,1,4
2231,30850.2665,3,3,1,1,1,4,1,3,1,1,1,4
2232,26541.1712,3,3,1,1,1,4,1,3,1,1,1,4
2233,19186.8474,4,2,2,3,2,3,1,2,2,3,2,3
2234,22608.5599,3,3,2,1,1,2,1,3,2,1,1,2
2235,29510.12,3,3,3,1,1,4,1,3,3,1,1,4
2236,20932.4806,1,2,2,4,1,1,0,2,2,4,1,1
2237,22309.7556,5,2,4,3,1,2,1,2,4,3,1,2
2238,23897.4806,4,3,2,3,2,4,1,3,2,3,2,4
2239,18492.9204,3,3,1,1,1,4,1,3,1,1,1,4
2240,28104.2223,2,3,1,1,1,2,0,3,1,1,1,2
2241,17709.3186,3,3,2,1,1,2,1,3,2,1,1,2
2242,28104.2223,2,3,1,2,1,2,0,3,1,2,1,2
2243,39836.6082,3,2,2,2,3,2,1,2,2,2,3,2
2244,22789.3308,3,3,2,3,1,2,1,3,2,3,1,2
2245,29619.5726,4,3,3,2,1,1,1,3,3,2,1,1
2246,28287.2883,5,3,2,4,1,2,1,3,2,4,1,2
2247,32778.8481,4,2,2,3,4,4,1,2,2,3,4,4
2248,14143.4504,2,3,2,1,1,4,0,3,2,1,1,4
2249,16148.5533,2,3,1,1,1,3,0,3,1,1,1,3
2250,7137.3453,3,3,2,3,1,4,1,3,2,3,1,4
2251,11277.4496,3,2,2,1,5,3,1,2,2,1,5,3
2252,20089.3827,3,4,1,2,1,3,1,4,1,2,1,3
2253,14861.7569,3,2,2,2,1,2,1,2,2,2,1,2
2254,25043.4142,1,3,1,1,1,3,0,3,1,1,1,3
2255,28122.8885,3,3,2,4,4,3,1,3,2,4,4,3
2256,16004.3448,3,1,3,3,3,4,1,1,3,3,3,4
2258,22687.0913,3,3,2,3,4,4,1,3,2,3,4,4
2259,27871.4452,3,2,2,3,3,2,1,2,2,3,3,2
2260,21057.7269,3,3,3,1,1,4,1,3,3,1,1,4
2261,25043.4142,3,2,2,1,1,3,1,2,2,1,1,3
2262,24159.5612,4,2,2,3,2,4,1,2,2,3,2,4
2263,14782.9264,3,1,1,3,1,3,1,1,1,3,1,3
2264,28663.1409,3,3,2,3,1,1,1,3,2,3,1,1
2265,19832.965,2,3,1,2,1,2,0,3,1,2,1,2
2266,32659.6408,2,3,1,2,1,3,0,3,1,2,1,3
2267,47278.1501,3,2,3,4,1,3,1,2,3,4,1,3
2268,18596.2755,3,3,3,2,1,2,1,3,3,2,1,2
2269,10857.7405,3,1,2,2,1,4,1,1,2,2,1,4
2270,17443.7602,2,3,1,1,1,4,0,3,1,1,1,4
2271,13794.5804,1,4,1,4,1,3,0,4,1,4,1,3
2272,19790.4153,3,3,3,2,1,4,1,3,3,2,1,4
2273,15297.0137,2,3,1,3,1,3,0,3,1,3,1,3
2274,34487.2046,3,2,1,1,4,4,1,2,1,1,4,4
2275,25291.9499,2,3,2,1,1,3,0,3,2,1,1,3
2276,19158.899,1,3,1,1,5,4,0,3,1,1,5,4
2277,13009.2251,3,3,2,3,1,4,1,3,2,3,1,4
2278,9879.7232,2,3,1,1,1,4,0,3,1,1,1,4
2279,19790.4153,3,2,3,1,1,4,1,2,3,1,1,4
2280,10305.5614,2,3,1,1,1,4,0,3,1,1,1,4
2281,15700.0129,2,2,2,2,1,3,0,2,2,2,1,3
2282,30850.2665,3,3,2,1,1,4,1,3,2,1,1,4
2283,18456.2766,2,3,2,1,3,4,0,3,2,1,3,4
2284,23687.5548,1,2,2,3,1,4,0,2,2,3,1,4
2285,10509.691,3,2,2,3,1,3,1,2,2,3,1,3
2286,28559.1918,3,3,2,1,1,4,1,3,2,1,1,4
2287,28559.1918,3,2,1,1,1,4,1,2,1,1,1,4
2288,29423.291,2,1,1,3,3,3,0,1,1,3,3,3
2289,28209.1946,3,3,2,3,2,2,1,3,2,3,2,2
2290,13090.7683,3,3,2,2,1,4,1,3,2,2,1,4
2291,8569.6217,2,3,2,2,1,3,0,3,2,2,1,3
2292,41980.793,3,3,3,3,3,3,1,3,3,3,3,3
2293,13914.758,3,2,3,3,1,4,1,2,3,3,1,4
2294,19771.8881,2,3,1,3,1,2,0,3,1,3,1,2
2295,16978.1952,3,3,2,1,5,2,1,3,2,1,5,2
2296,23149.0734,3,3,2,1,2,4,1,3,2,1,2,4
2297,27832.4729,2,5,1,3,2,3,0,5,1,3,2,3
2298,20047.8367,3,3,2,1,2,3,1,3,2,1,2,3
2299,22174.2744,3,4,1,3,1,4,1,4,1,3,1,4
2300,31882.6852,3,3,2,2,2,2,1,3,2,2,2,2
2301,17734.8958,2,2,2,2,3,3,0,2,2,2,3,3
